Пол,Сумма.баллов,ЕГЭ...матем.,ЕГЭ...рус.яз.,Аттестат.с.отличием.оценка,ГТО.оценка,Сочинение.оценка,Регион,Тип.насел..пункта,Дата.рождения,День.рождения,Месяц.рождения
МУЖСКОЙ,353,92,86,5,2,2,Дагестан Респ,ЦЕНТР СУБЪЕКТА ФЕДЕРАЦИИ,05.01.2000,5,1
МУЖСКОЙ,373,90,83,5,0,2,Алтайский край,ЦЕНТР СУБЪЕКТА ФЕДЕРАЦИИ,07.04.1999,7,4
ЖЕНСКИЙ,339,86,91,5,2,2,Москва г,ГОРОД ФЕДЕРАЛЬНОГО ЗНАЧЕНИЯ,23.06.1999,23,6
ЖЕНСКИЙ,337,74,95,0,0,0,Москва г,ГОРОД ФЕДЕРАЛЬНОГО ЗНАЧЕНИЯ,28.02.1996,28,2
МУЖСКОЙ,376,92,93,5,0,2,Челябинская обл,ГОРОД,04.09.1998,4,9
МУЖСКОЙ,363,82,83,0,2,2,Коми Респ,НАСЕЛЕННЫЙ ПУНКТ СЕЛЬСКОГО ТИПА,03.10.1999,3,10
МУЖСКОЙ,373,NA,91,5,0,2,Пензенская обл,НАСЕЛЕННЫЙ ПУНКТ СЕЛЬСКОГО ТИПА,19.05.2000,19,5
МУЖСКОЙ,355,92,96,5,0,2,Краснодарский край,ГОРОД,15.10.1999,15,10
ЖЕНСКИЙ,367,88,91,5,0,2,Астраханская обл,НАСЕЛЕННЫЙ ПУНКТ СЕЛЬСКОГО ТИПА,04.03.1999,4,3
ЖЕНСКИЙ,319,74,90,0,0,1,Москва г,ГОРОД ФЕДЕРАЛЬНОГО ЗНАЧЕНИЯ,01.12.1997,1,12
МУЖСКОЙ,259,70,76,0,0,0,Москва г,ГОРОД ФЕДЕРАЛЬНОГО ЗНАЧЕНИЯ,06.10.1997,6,10
ЖЕНСКИЙ,288,68,93,5,0,1,Московская обл,НАСЕЛЕННЫЙ ПУНКТ ГОРОДСКОГО ТИПА,19.02.1998,19,2
МУЖСКОЙ,281,72,92,0,0,0,Москва г,ГОРОД ФЕДЕРАЛЬНОГО ЗНАЧЕНИЯ,07.06.1990,7,6
МУЖСКОЙ,326,96,78,5,0,2,Псковская обл,ГОРОД,19.11.1998,19,11
ЖЕНСКИЙ,306,90,93,5,0,2,Москва г,ГОРОД ФЕДЕРАЛЬНОГО ЗНАЧЕНИЯ,03.07.1998,3,7
ЖЕНСКИЙ,297,80,88,0,0,2,Москва г,ГОРОД ФЕДЕРАЛЬНОГО ЗНАЧЕНИЯ,06.12.1998,6,12
ЖЕНСКИЙ,350,82,72,0,0,2,Чувашская Респ,ЦЕНТР СУБЪЕКТА ФЕДЕРАЦИИ,20.01.2000,20,1
МУЖСКОЙ,365,82,81,0,0,2,Москва г,ГОРОД ФЕДЕРАЛЬНОГО ЗНАЧЕНИЯ,07.05.1999,7,5
ЖЕНСКИЙ,283,90,67,0,0,2,Чувашская Респ,ЦЕНТР СУБЪЕКТА ФЕДЕРАЦИИ,30.06.1999,30,6
МУЖСКОЙ,327,80,69,0,0,0,Ташкент,ГОРОД,04.06.1999,4,6
ЖЕНСКИЙ,408,100,100,5,0,3,Московская обл,ГОРОД,22.05.1999,22,5
МУЖСКОЙ,386,92,91,0,0,3,Московская обл,ГОРОД,18.01.2000,18,1
МУЖСКОЙ,359,90,91,0,2,2,Рязанская обл,ГОРОД,16.04.2000,16,4
МУЖСКОЙ,380,92,91,0,0,1,Белгородская обл,ГОРОД,02.03.1999,2,3
ЖЕНСКИЙ,400,100,93,5,0,2,Орловская обл,ЦЕНТР СУБЪЕКТА ФЕДЕРАЦИИ,30.11.1999,30,11
ЖЕНСКИЙ,341,82,83,0,0,2,Чувашская Респ,ГОРОД ФЕДЕРАЛЬНОГО ЗНАЧЕНИЯ,28.05.1999,28,5
ЖЕНСКИЙ,329,80,83,0,0,2,Москва г,ГОРОД ФЕДЕРАЛЬНОГО ЗНАЧЕНИЯ,22.12.1998,22,12
ЖЕНСКИЙ,382,92,91,5,0,2,Башкортостан Респ,ГОРОД,18.08.1999,18,8
МУЖСКОЙ,366,90,76,0,0,2,Башкортостан Респ,ГОРОД ФЕДЕРАЛЬНОГО ЗНАЧЕНИЯ,03.03.2000,3,3
МУЖСКОЙ,378,94,98,5,0,1,Москва г,ГОРОД ФЕДЕРАЛЬНОГО ЗНАЧЕНИЯ,02.01.2000,2,1
МУЖСКОЙ,337,88,86,0,0,2,Башкортостан Респ,ГОРОД,23.08.1999,23,8
МУЖСКОЙ,331,86,96,0,0,2,Москва г,ГОРОД ФЕДЕРАЛЬНОГО ЗНАЧЕНИЯ,24.02.1999,24,2
МУЖСКОЙ,298,78,72,0,0,1,Новосибирская обл,ЦЕНТР СУБЪЕКТА ФЕДЕРАЦИИ,25.01.1999,25,1
ЖЕНСКИЙ,379,88,93,0,0,2,Волгоградская обл,ГОРОД,11.04.1999,11,4
МУЖСКОЙ,341,82,78,0,0,2,Москва г,ГОРОД ФЕДЕРАЛЬНОГО ЗНАЧЕНИЯ,27.06.1999,27,6
ЖЕНСКИЙ,356,96,83,0,0,3,Саратовская обл,ГОРОД,17.08.1999,17,8
МУЖСКОЙ,318,88,81,0,0,2,Саратовская обл,ГОРОД,19.10.1999,19,10
МУЖСКОЙ,374,84,96,0,0,2,Москва г,ГОРОД ФЕДЕРАЛЬНОГО ЗНАЧЕНИЯ,05.08.1999,5,8
ЖЕНСКИЙ,370,88,100,5,0,2,Москва г,ГОРОД ФЕДЕРАЛЬНОГО ЗНАЧЕНИЯ,29.08.1999,29,8
МУЖСКОЙ,380,96,96,5,2,3,Москва г,ГОРОД ФЕДЕРАЛЬНОГО ЗНАЧЕНИЯ,27.06.1999,27,6
ЖЕНСКИЙ,286,88,86,0,0,1,Москва г,ГОРОД ФЕДЕРАЛЬНОГО ЗНАЧЕНИЯ,17.01.2000,17,1
МУЖСКОЙ,252,78,73,0,2,3,Москва г,ГОРОД ФЕДЕРАЛЬНОГО ЗНАЧЕНИЯ,04.09.2000,4,9
МУЖСКОЙ,305,82,76,0,0,0,Москва г,ГОРОД ФЕДЕРАЛЬНОГО ЗНАЧЕНИЯ,29.06.1999,29,6
МУЖСКОЙ,353,90,91,0,0,2,Москва г,ГОРОД ФЕДЕРАЛЬНОГО ЗНАЧЕНИЯ,24.11.1999,24,11
МУЖСКОЙ,349,94,61,0,0,2,Москва г,ГОРОД ФЕДЕРАЛЬНОГО ЗНАЧЕНИЯ,17.02.2000,17,2
МУЖСКОЙ,374,92,93,0,2,0,Москва г,ГОРОД ФЕДЕРАЛЬНОГО ЗНАЧЕНИЯ,13.11.1999,13,11
МУЖСКОЙ,260,82,86,0,0,1,Москва г,ГОРОД ФЕДЕРАЛЬНОГО ЗНАЧЕНИЯ,20.09.1999,20,9
МУЖСКОЙ,315,86,91,0,0,0,Новосибирская обл,ГОРОД,11.09.1999,11,9
МУЖСКОЙ,407,100,100,5,0,2,Москва г,ГОРОД ФЕДЕРАЛЬНОГО ЗНАЧЕНИЯ,22.04.2000,22,4
МУЖСКОЙ,318,92,73,0,0,2,Московская обл,ГОРОД,01.12.1999,1,12
ЖЕНСКИЙ,266,72,83,0,0,2,Москва г,ГОРОД ФЕДЕРАЛЬНОГО ЗНАЧЕНИЯ,06.08.1999,6,8
МУЖСКОЙ,350,84,83,0,0,0,Москва г,ГОРОД ФЕДЕРАЛЬНОГО ЗНАЧЕНИЯ,11.06.1999,11,6
МУЖСКОЙ,350,96,93,0,0,2,Москва г,ГОРОД ФЕДЕРАЛЬНОГО ЗНАЧЕНИЯ,02.09.1999,2,9
МУЖСКОЙ,375,86,96,0,0,1,Москва г,ГОРОД ФЕДЕРАЛЬНОГО ЗНАЧЕНИЯ,23.03.1999,23,3
МУЖСКОЙ,327,80,96,0,0,1,Москва г,ГОРОД ФЕДЕРАЛЬНОГО ЗНАЧЕНИЯ,18.08.1999,18,8
МУЖСКОЙ,341,80,78,0,0,0,Московская обл,ГОРОД,07.04.1999,7,4
ЖЕНСКИЙ,284,86,76,0,0,2,Московская обл,ГОРОД,02.06.1999,2,6
ЖЕНСКИЙ,336,90,88,0,0,1,Москва г,ГОРОД ФЕДЕРАЛЬНОГО ЗНАЧЕНИЯ,16.11.1999,16,11
МУЖСКОЙ,335,72,93,0,0,2,Московская обл,НАСЕЛЕННЫЙ ПУНКТ СЕЛЬСКОГО ТИПА,05.12.1999,5,12
МУЖСКОЙ,340,68,96,0,0,1,Москва г,ГОРОД ФЕДЕРАЛЬНОГО ЗНАЧЕНИЯ,20.02.2000,20,2
МУЖСКОЙ,341,82,96,0,0,3,Москва г,ГОРОД ФЕДЕРАЛЬНОГО ЗНАЧЕНИЯ,15.02.2000,15,2
МУЖСКОЙ,334,87,57,0,0,0,Астраханская обл,ГОРОД,06.06.1995,6,6
ЖЕНСКИЙ,260,80,91,0,2,1,Москва г,ГОРОД ФЕДЕРАЛЬНОГО ЗНАЧЕНИЯ,23.08.1999,23,8
МУЖСКОЙ,341,78,91,0,2,1,Москва г,ГОРОД ФЕДЕРАЛЬНОГО ЗНАЧЕНИЯ,09.08.1999,9,8
ЖЕНСКИЙ,323,88,93,5,0,2,Москва г,ГОРОД ФЕДЕРАЛЬНОГО ЗНАЧЕНИЯ,26.01.2001,26,1
МУЖСКОЙ,353,94,83,0,2,2,Москва г,ГОРОД ФЕДЕРАЛЬНОГО ЗНАЧЕНИЯ,10.10.1999,10,10
МУЖСКОЙ,345,99,88,0,0,0,Москва г,ГОРОД ФЕДЕРАЛЬНОГО ЗНАЧЕНИЯ,22.12.1999,22,12
МУЖСКОЙ,393,96,93,5,0,3,Москва г,ГОРОД ФЕДЕРАЛЬНОГО ЗНАЧЕНИЯ,23.07.1999,23,7
МУЖСКОЙ,343,99,73,0,2,0,Москва г,ГОРОД ФЕДЕРАЛЬНОГО ЗНАЧЕНИЯ,26.01.1999,26,1
МУЖСКОЙ,270,80,73,0,0,1,Москва г,ГОРОД ФЕДЕРАЛЬНОГО ЗНАЧЕНИЯ,30.08.1999,30,8
МУЖСКОЙ,333,78,93,5,2,2,Москва г,ГОРОД ФЕДЕРАЛЬНОГО ЗНАЧЕНИЯ,18.06.1999,18,6
МУЖСКОЙ,309,80,81,0,0,1,Москва г,ГОРОД ФЕДЕРАЛЬНОГО ЗНАЧЕНИЯ,17.06.1999,17,6
МУЖСКОЙ,329,92,91,0,0,2,Москва г,ГОРОД ФЕДЕРАЛЬНОГО ЗНАЧЕНИЯ,26.05.2000,26,5
МУЖСКОЙ,362,86,88,0,0,1,Москва г,ГОРОД ФЕДЕРАЛЬНОГО ЗНАЧЕНИЯ,15.09.1999,15,9
ЖЕНСКИЙ,392,99,96,0,0,1,Москва г,ГОРОД ФЕДЕРАЛЬНОГО ЗНАЧЕНИЯ,05.10.1999,5,10
МУЖСКОЙ,373,100,83,0,0,1,Москва г,ГОРОД ФЕДЕРАЛЬНОГО ЗНАЧЕНИЯ,16.11.1999,16,11
ЖЕНСКИЙ,282,76,86,0,0,2,Москва г,ГОРОД ФЕДЕРАЛЬНОГО ЗНАЧЕНИЯ,30.01.1999,30,1
МУЖСКОЙ,327,82,66,0,0,1,Москва г,ГОРОД ФЕДЕРАЛЬНОГО ЗНАЧЕНИЯ,10.09.1999,10,9
ЖЕНСКИЙ,326,92,96,0,0,1,Москва г,ГОРОД ФЕДЕРАЛЬНОГО ЗНАЧЕНИЯ,31.05.1999,31,5
МУЖСКОЙ,319,96,93,0,0,2,Москва г,ГОРОД ФЕДЕРАЛЬНОГО ЗНАЧЕНИЯ,13.10.1999,13,10
ЖЕНСКИЙ,309,82,96,5,0,2,Москва г,ГОРОД ФЕДЕРАЛЬНОГО ЗНАЧЕНИЯ,09.07.1999,9,7
ЖЕНСКИЙ,358,80,91,5,0,2,Москва г,ГОРОД ФЕДЕРАЛЬНОГО ЗНАЧЕНИЯ,12.06.1999,12,6
МУЖСКОЙ,356,88,88,0,2,2,Москва г,ГОРОД ФЕДЕРАЛЬНОГО ЗНАЧЕНИЯ,12.06.1999,12,6
МУЖСКОЙ,334,80,91,0,0,2,Москва г,ГОРОД ФЕДЕРАЛЬНОГО ЗНАЧЕНИЯ,11.11.1999,11,11
МУЖСКОЙ,336,80,96,0,0,2,Московская обл,ГОРОД,04.12.1999,4,12
МУЖСКОЙ,375,96,86,5,0,1,Москва г,ГОРОД ФЕДЕРАЛЬНОГО ЗНАЧЕНИЯ,21.12.1999,21,12
МУЖСКОЙ,362,86,93,0,0,2,Москва г,ГОРОД ФЕДЕРАЛЬНОГО ЗНАЧЕНИЯ,14.04.2000,14,4
МУЖСКОЙ,323,84,88,0,0,2,Москва г,ГОРОД ФЕДЕРАЛЬНОГО ЗНАЧЕНИЯ,16.08.1999,16,8
ЖЕНСКИЙ,386,99,93,5,0,2,Москва г,ГОРОД ФЕДЕРАЛЬНОГО ЗНАЧЕНИЯ,28.12.1998,28,12
МУЖСКОЙ,336,84,96,0,0,2,Калужская обл,ГОРОД,09.02.2000,9,2
МУЖСКОЙ,328,90,91,0,0,2,Москва г,ГОРОД ФЕДЕРАЛЬНОГО ЗНАЧЕНИЯ,17.02.1999,17,2
ЖЕНСКИЙ,348,90,96,5,0,1,Москва г,ГОРОД ФЕДЕРАЛЬНОГО ЗНАЧЕНИЯ,11.03.1999,11,3
МУЖСКОЙ,321,92,78,5,0,3,Нижегородская обл,ГОРОД,14.03.1998,14,3
МУЖСКОЙ,234,68,73,0,0,1,Москва г,ГОРОД ФЕДЕРАЛЬНОГО ЗНАЧЕНИЯ,07.06.2000,7,6
МУЖСКОЙ,299,76,86,0,0,2,Москва г,ГОРОД ФЕДЕРАЛЬНОГО ЗНАЧЕНИЯ,05.08.1999,5,8
МУЖСКОЙ,368,88,93,0,0,3,Москва г,ГОРОД ФЕДЕРАЛЬНОГО ЗНАЧЕНИЯ,09.10.1999,9,10
МУЖСКОЙ,302,86,65,0,0,0,Москва г,ГОРОД ФЕДЕРАЛЬНОГО ЗНАЧЕНИЯ,15.03.1999,15,3
МУЖСКОЙ,312,80,98,0,0,2,СЕВАСТОПОЛЬ,ГОРОД ФЕДЕРАЛЬНОГО ЗНАЧЕНИЯ,19.04.1999,19,4
ЖЕНСКИЙ,325,88,71,0,0,1,Москва г,ГОРОД ФЕДЕРАЛЬНОГО ЗНАЧЕНИЯ,04.03.1999,4,3
МУЖСКОЙ,329,92,91,5,0,2,Москва г,ГОРОД ФЕДЕРАЛЬНОГО ЗНАЧЕНИЯ,13.12.1998,13,12
ЖЕНСКИЙ,336,76,91,0,0,1,Москва г,ГОРОД ФЕДЕРАЛЬНОГО ЗНАЧЕНИЯ,04.04.2000,4,4
МУЖСКОЙ,310,90,91,0,0,2,Москва г,ГОРОД ФЕДЕРАЛЬНОГО ЗНАЧЕНИЯ,25.06.1999,25,6
ЖЕНСКИЙ,338,88,93,5,0,2,Москва г,ГОРОД ФЕДЕРАЛЬНОГО ЗНАЧЕНИЯ,23.04.1999,23,4
МУЖСКОЙ,287,86,91,0,2,2,Москва г,ГОРОД ФЕДЕРАЛЬНОГО ЗНАЧЕНИЯ,20.06.1999,20,6
МУЖСКОЙ,330,78,88,0,0,1,Москва г,ГОРОД ФЕДЕРАЛЬНОГО ЗНАЧЕНИЯ,27.08.1999,27,8
МУЖСКОЙ,329,86,88,0,0,2,Москва г,ГОРОД ФЕДЕРАЛЬНОГО ЗНАЧЕНИЯ,19.09.1999,19,9
МУЖСКОЙ,344,90,83,0,0,2,Москва г,ГОРОД ФЕДЕРАЛЬНОГО ЗНАЧЕНИЯ,04.04.2000,4,4
МУЖСКОЙ,335,76,69,0,0,1,Москва г,ГОРОД ФЕДЕРАЛЬНОГО ЗНАЧЕНИЯ,28.05.1999,28,5
ЖЕНСКИЙ,315,86,88,5,0,2,Московская обл,ГОРОД,08.08.1999,8,8
МУЖСКОЙ,368,90,91,0,0,3,Москва г,ГОРОД ФЕДЕРАЛЬНОГО ЗНАЧЕНИЯ,06.05.1999,6,5
МУЖСКОЙ,378,94,88,0,0,2,Москва г,ГОРОД ФЕДЕРАЛЬНОГО ЗНАЧЕНИЯ,12.06.1999,12,6
МУЖСКОЙ,311,88,88,5,0,1,Москва г,ГОРОД ФЕДЕРАЛЬНОГО ЗНАЧЕНИЯ,18.02.2000,18,2
ЖЕНСКИЙ,348,82,96,5,0,2,Москва г,ГОРОД ФЕДЕРАЛЬНОГО ЗНАЧЕНИЯ,05.01.1999,5,1
МУЖСКОЙ,317,94,69,0,0,2,Московская обл,ГОРОД,27.08.1999,27,8
МУЖСКОЙ,342,86,72,0,0,1,Москва г,ГОРОД ФЕДЕРАЛЬНОГО ЗНАЧЕНИЯ,21.06.1999,21,6
МУЖСКОЙ,370,90,91,0,0,2,Москва г,ГОРОД ФЕДЕРАЛЬНОГО ЗНАЧЕНИЯ,20.08.2000,20,8
МУЖСКОЙ,351,98,93,0,0,1,Москва г,ГОРОД ФЕДЕРАЛЬНОГО ЗНАЧЕНИЯ,07.05.1999,7,5
МУЖСКОЙ,311,84,86,0,0,1,Санкт-Петербург г,ГОРОД ФЕДЕРАЛЬНОГО ЗНАЧЕНИЯ,11.03.1999,11,3
ЖЕНСКИЙ,292,70,81,0,0,2,Москва г,ГОРОД ФЕДЕРАЛЬНОГО ЗНАЧЕНИЯ,01.05.2000,1,5
МУЖСКОЙ,272,78,83,0,0,2,Санкт-Петербург г,ГОРОД ФЕДЕРАЛЬНОГО ЗНАЧЕНИЯ,02.09.1999,2,9
МУЖСКОЙ,365,84,91,5,0,2,Орловская обл,ГОРОД ФЕДЕРАЛЬНОГО ЗНАЧЕНИЯ,26.05.1999,26,5
МУЖСКОЙ,287,72,88,0,0,1,Москва г,ГОРОД ФЕДЕРАЛЬНОГО ЗНАЧЕНИЯ,06.06.1999,6,6
МУЖСКОЙ,310,80,76,0,0,1,Москва г,ГОРОД ФЕДЕРАЛЬНОГО ЗНАЧЕНИЯ,21.08.1999,21,8
ЖЕНСКИЙ,276,72,88,0,0,1,Калужская обл,ЦЕНТР СУБЪЕКТА ФЕДЕРАЦИИ,19.11.1998,19,11
МУЖСКОЙ,338,90,81,0,0,2,Москва г,ГОРОД ФЕДЕРАЛЬНОГО ЗНАЧЕНИЯ,04.05.1999,4,5
МУЖСКОЙ,283,88,83,0,0,2,Москва г,ГОРОД ФЕДЕРАЛЬНОГО ЗНАЧЕНИЯ,19.05.1999,19,5
ЖЕНСКИЙ,325,90,96,5,2,2,Москва г,ГОРОД ФЕДЕРАЛЬНОГО ЗНАЧЕНИЯ,04.09.2000,4,9
МУЖСКОЙ,310,90,81,0,0,2,Москва г,ГОРОД ФЕДЕРАЛЬНОГО ЗНАЧЕНИЯ,30.01.2000,30,1
ЖЕНСКИЙ,321,88,91,5,0,2,Москва г,ГОРОД ФЕДЕРАЛЬНОГО ЗНАЧЕНИЯ,14.03.2000,14,3
МУЖСКОЙ,247,72,81,0,0,2,Москва г,ГОРОД ФЕДЕРАЛЬНОГО ЗНАЧЕНИЯ,26.11.1999,26,11
ЖЕНСКИЙ,378,100,86,0,0,3,Москва г,ГОРОД ФЕДЕРАЛЬНОГО ЗНАЧЕНИЯ,12.08.1999,12,8
ЖЕНСКИЙ,340,88,83,0,0,2,нет регионов,ГОРОД,27.04.2000,27,4
МУЖСКОЙ,390,94,96,0,0,2,Москва г,ГОРОД ФЕДЕРАЛЬНОГО ЗНАЧЕНИЯ,25.10.1999,25,10
ЖЕНСКИЙ,398,100,91,5,0,2,Московская обл,ГОРОД,15.09.1999,15,9
МУЖСКОЙ,348,88,93,5,2,2,Московская обл,ГОРОД,09.10.1999,9,10
ЖЕНСКИЙ,290,92,78,0,0,1,Москва г,ГОРОД ФЕДЕРАЛЬНОГО ЗНАЧЕНИЯ,30.12.1999,30,12
МУЖСКОЙ,395,100,96,5,0,2,Москва г,ГОРОД ФЕДЕРАЛЬНОГО ЗНАЧЕНИЯ,21.09.1999,21,9
ЖЕНСКИЙ,339,80,81,0,2,2,Москва г,ГОРОД ФЕДЕРАЛЬНОГО ЗНАЧЕНИЯ,28.06.1999,28,6
МУЖСКОЙ,369,88,91,0,0,2,Москва г,ГОРОД ФЕДЕРАЛЬНОГО ЗНАЧЕНИЯ,17.03.1999,17,3
МУЖСКОЙ,330,88,86,0,0,1,Москва г,ГОРОД ФЕДЕРАЛЬНОГО ЗНАЧЕНИЯ,30.03.2000,30,3
ЖЕНСКИЙ,383,96,91,5,0,2,Москва г,ГОРОД ФЕДЕРАЛЬНОГО ЗНАЧЕНИЯ,24.12.1999,24,12
МУЖСКОЙ,382,100,86,0,0,0,Москва г,ГОРОД ФЕДЕРАЛЬНОГО ЗНАЧЕНИЯ,01.04.2000,1,4
ЖЕНСКИЙ,295,80,73,0,0,2,Москва г,ГОРОД ФЕДЕРАЛЬНОГО ЗНАЧЕНИЯ,24.03.1999,24,3
ЖЕНСКИЙ,353,92,98,5,2,2,Московская обл,ГОРОД,24.05.1999,24,5
МУЖСКОЙ,327,82,72,0,0,2,Московская обл,ГОРОД,27.09.1999,27,9
МУЖСКОЙ,373,92,93,5,0,2,Москва г,ГОРОД ФЕДЕРАЛЬНОГО ЗНАЧЕНИЯ,17.12.1999,17,12
ЖЕНСКИЙ,329,86,88,0,0,1,Москва г,ГОРОД ФЕДЕРАЛЬНОГО ЗНАЧЕНИЯ,10.03.1999,10,3
ЖЕНСКИЙ,323,86,93,0,0,2,Москва г,ГОРОД ФЕДЕРАЛЬНОГО ЗНАЧЕНИЯ,05.03.2000,5,3
МУЖСКОЙ,280,80,86,5,0,2,Московская обл,ГОРОД,20.08.2000,20,8
МУЖСКОЙ,277,84,83,0,0,1,Москва г,ГОРОД ФЕДЕРАЛЬНОГО ЗНАЧЕНИЯ,11.09.1999,11,9
МУЖСКОЙ,348,98,71,0,0,1,Московская обл,ГОРОД,03.06.1999,3,6
МУЖСКОЙ,324,84,86,0,0,2,Москва г,ГОРОД ФЕДЕРАЛЬНОГО ЗНАЧЕНИЯ,04.08.1999,4,8
МУЖСКОЙ,313,70,91,5,0,1,Московская обл,ГОРОД,21.12.1999,21,12
МУЖСКОЙ,348,92,69,0,0,2,Москва г,ГОРОД ФЕДЕРАЛЬНОГО ЗНАЧЕНИЯ,21.06.1999,21,6
ЖЕНСКИЙ,357,84,91,0,0,2,Калужская обл,ГОРОД,02.01.2000,2,1
МУЖСКОЙ,267,70,81,0,2,2,Дагестан Респ,НАСЕЛЕННЫЙ ПУНКТ СЕЛЬСКОГО ТИПА,04.01.2000,4,1
ЖЕНСКИЙ,381,90,96,5,0,1,Москва г,ГОРОД ФЕДЕРАЛЬНОГО ЗНАЧЕНИЯ,06.01.1999,6,1
МУЖСКОЙ,280,72,86,0,0,2,Москва г,ГОРОД ФЕДЕРАЛЬНОГО ЗНАЧЕНИЯ,17.07.2000,17,7
МУЖСКОЙ,396,100,93,0,0,3,Москва г,ГОРОД ФЕДЕРАЛЬНОГО ЗНАЧЕНИЯ,07.06.1999,7,6
ЖЕНСКИЙ,299,78,81,5,0,1,Москва г,ГОРОД ФЕДЕРАЛЬНОГО ЗНАЧЕНИЯ,04.08.1999,4,8
МУЖСКОЙ,306,96,78,0,0,2,Москва г,ГОРОД ФЕДЕРАЛЬНОГО ЗНАЧЕНИЯ,26.01.2000,26,1
МУЖСКОЙ,382,92,88,5,0,1,Москва г,ГОРОД ФЕДЕРАЛЬНОГО ЗНАЧЕНИЯ,07.06.1999,7,6
ЖЕНСКИЙ,307,86,83,0,0,1,Москва г,ГОРОД ФЕДЕРАЛЬНОГО ЗНАЧЕНИЯ,25.11.1999,25,11
МУЖСКОЙ,376,90,88,0,0,2,Москва г,ГОРОД ФЕДЕРАЛЬНОГО ЗНАЧЕНИЯ,27.08.1999,27,8
МУЖСКОЙ,305,78,96,5,2,1,Московская обл,ГОРОД,27.07.1999,27,7
ЖЕНСКИЙ,298,82,86,0,0,2,Москва г,ГОРОД ФЕДЕРАЛЬНОГО ЗНАЧЕНИЯ,09.10.1999,9,10
ЖЕНСКИЙ,282,78,86,0,0,2,Москва г,ГОРОД ФЕДЕРАЛЬНОГО ЗНАЧЕНИЯ,07.10.1999,7,10
ЖЕНСКИЙ,338,82,86,0,0,1,Москва г,ГОРОД ФЕДЕРАЛЬНОГО ЗНАЧЕНИЯ,11.07.1999,11,7
МУЖСКОЙ,327,78,78,0,0,3,Краснодарский край,ГОРОД,20.03.2000,20,3
ЖЕНСКИЙ,320,82,82,0,0,2,Москва г,ГОРОД ФЕДЕРАЛЬНОГО ЗНАЧЕНИЯ,03.09.1997,3,9
ЖЕНСКИЙ,358,94,98,5,0,2,Москва г,ГОРОД ФЕДЕРАЛЬНОГО ЗНАЧЕНИЯ,05.01.2000,5,1
МУЖСКОЙ,292,78,76,0,0,1,Москва г,ГОРОД ФЕДЕРАЛЬНОГО ЗНАЧЕНИЯ,27.07.1999,27,7
МУЖСКОЙ,304,80,91,0,0,2,Москва г,ГОРОД ФЕДЕРАЛЬНОГО ЗНАЧЕНИЯ,14.07.1999,14,7
МУЖСКОЙ,306,78,91,0,0,1,Московская обл,ГОРОД,29.05.2000,29,5
МУЖСКОЙ,276,72,78,0,2,1,Москва г,ГОРОД ФЕДЕРАЛЬНОГО ЗНАЧЕНИЯ,26.04.1999,26,4
МУЖСКОЙ,329,76,98,0,0,1,Москва г,ГОРОД ФЕДЕРАЛЬНОГО ЗНАЧЕНИЯ,24.05.2000,24,5
МУЖСКОЙ,356,92,91,5,2,2,Москва г,ГОРОД ФЕДЕРАЛЬНОГО ЗНАЧЕНИЯ,22.03.2001,22,3
МУЖСКОЙ,257,62,81,0,0,2,Москва г,ГОРОД ФЕДЕРАЛЬНОГО ЗНАЧЕНИЯ,29.06.1999,29,6
МУЖСКОЙ,338,86,62,0,0,1,Москва г,ГОРОД ФЕДЕРАЛЬНОГО ЗНАЧЕНИЯ,23.04.1999,23,4
ЖЕНСКИЙ,366,76,96,5,0,2,Москва г,ГОРОД ФЕДЕРАЛЬНОГО ЗНАЧЕНИЯ,22.07.1999,22,7
МУЖСКОЙ,249,74,78,5,2,1,Московская обл,ГОРОД,30.11.1999,30,11
ЖЕНСКИЙ,296,82,88,0,0,2,Москва г,НАСЕЛЕННЫЙ ПУНКТ ГОРОДСКОГО ТИПА,28.11.1999,28,11
ЖЕНСКИЙ,342,82,100,0,0,2,Москва г,ГОРОД ФЕДЕРАЛЬНОГО ЗНАЧЕНИЯ,27.06.1999,27,6
МУЖСКОЙ,298,78,88,5,0,2,Калужская обл,ЦЕНТР СУБЪЕКТА ФЕДЕРАЦИИ,09.07.1999,9,7
МУЖСКОЙ,330,83,82,0,0,0,Москва г,ГОРОД ФЕДЕРАЛЬНОГО ЗНАЧЕНИЯ,08.01.1996,8,1
МУЖСКОЙ,344,99,96,5,0,2,Московская обл,ГОРОД,17.04.2000,17,4
МУЖСКОЙ,368,96,73,0,0,1,Москва г,ГОРОД ФЕДЕРАЛЬНОГО ЗНАЧЕНИЯ,26.11.1999,26,11
ЖЕНСКИЙ,379,98,96,0,0,2,Москва г,ГОРОД ФЕДЕРАЛЬНОГО ЗНАЧЕНИЯ,05.08.2000,5,8
ЖЕНСКИЙ,270,72,93,5,0,2,Москва г,ГОРОД ФЕДЕРАЛЬНОГО ЗНАЧЕНИЯ,03.09.1999,3,9
ЖЕНСКИЙ,302,88,83,0,0,2,Москва г,ГОРОД ФЕДЕРАЛЬНОГО ЗНАЧЕНИЯ,06.07.1999,6,7
ЖЕНСКИЙ,249,72,83,0,0,2,Москва г,ГОРОД ФЕДЕРАЛЬНОГО ЗНАЧЕНИЯ,10.01.2000,10,1
МУЖСКОЙ,296,88,81,0,2,1,Москва г,ГОРОД ФЕДЕРАЛЬНОГО ЗНАЧЕНИЯ,06.04.2000,6,4
